,0
0,6.19015428559286e-65
1,2.7511796824857157e-64
2,1.222746525549207e-63
3,5.434429002440919e-63
4,2.4153017788626304e-62
5,1.0734674572722802e-61
6,4.77096647676569e-61
7,2.1204295452291955e-60
8,9.424131312129757e-60
9,4.188502805391003e-59
10,1.861556802396001e-58
11,8.273585788426672e-58
12,3.677149239300743e-57
13,1.6342885508003304e-56
14,7.263504670223691e-56
15,3.228224297877196e-55
16,1.434766354612087e-54
17,6.376739353831498e-54
18,2.8341063794806656e-53
19,3.1490070883118504e-53
20,4.898455470707323e-53
21,9.07121383464319e-53
22,2.371559172455736e-52
23,4.4026201372520746e-52
24,1.0088894073593288e-51
25,3.0508485044718035e-51
26,8.921550145336882e-51
27,3.14713137811402e-50
28,1.237853666774996e-49
29,3.858453226920691e-49
30,1.4138291941434496e-48
31,4.116388456445869e-48
32,1.0799026999041335e-47
33,1.6452629701821995e-47
34,3.733418046081506e-47
35,1.659296909369558e-46
36,7.37465293053137e-46
37,2.4582176435104564e-45
38,8.19405881170152e-45
39,3.1215462139815314e-44
40,1.8498051638409073e-43
41,4.110678141868683e-43
42,1.065731370114103e-42
43,2.8045562371423764e-42
44,2.49293887745989e-41
45,5.539864172133089e-41
46,1.6414412361875817e-40
47,4.7419413489863465e-40
48,1.6604777787696298e-39
49,4.909510569996834e-39
50,1.7433828882996954e-38
51,5.59208624079786e-38
52,1.4623061142671933e-37
53,4.814845683856909e-37
54,1.4798579610485171e-36
55,2.316510998079875e-36
56,3.914737594423332e-36
57,9.586239155478134e-36
58,1.0651376839420148e-35
59,1.6568808416875784e-35
60,3.068297854976997e-35
61,8.021693738501952e-35
62,2.6408868274903545e-34
63,9.989170033060442e-34
64,3.085912184187964e-33
65,4.834795967190117e-33
66,6.77213333875e-33
67,1.4425289818950128e-32
68,6.41123991953339e-32
69,2.8494399642370623e-31
70,1.2664177618831388e-30
71,5.6285233861472836e-30
72,2.5015659493987927e-29
73,8.338553164662642e-29
74,2.2500857745915067e-28
75,5.055748283650051e-28
76,1.3204229834707184e-27
77,3.259072287306189e-27
78,1.0343748828385632e-26
79,4.5972217015047255e-26
80,2.0432096451132113e-25
81,9.080931756058717e-25
82,4.03596966935943e-24
83,1.7937642974930798e-23
84,7.97228576663591e-23
85,3.543238118504849e-22
86,1.5747724971132664e-21
87,6.998988876058961e-21
88,3.1106617226928714e-20
89,1.3825163211968318e-19
90,6.14451698309703e-19
91,2.730896436932013e-18
92,1.2137317497475614e-17
93,1.348590833052846e-17
94,2.3974948143161705e-17
95,6.088875718898211e-17
96,6.765417465442457e-17
97,1.2027408827453256e-16
98,2.481846265982418e-16
99,6.994905465099497e-16
100,2.4128363793378036e-15
101,7.051519950819164e-15
102,2.4865520288482165e-14
103,9.778290192753723e-14
104,4.080296403392129e-13
105,1.756301114178455e-12
106,3.8906217387800115e-12
107,1.1503582664670862e-11
108,1.2781758516300957e-11
109,5.680781562800425e-11
110,2.524791805689078e-10
111,1.122129691417368e-09
112,4.98724307296608e-09
113,2.2165524768738134e-08
114,2.4628360854153483e-08
115,1.0945938157401548e-07
116,4.864861403289577e-07
117,1.0810803118421282e-06
118,1.2012003464912535e-06
119,1.8685338723197277e-06
120,4.306086290119537e-06
121,1.015256117182655e-05
122,3.128013535011633e-05
123,0.00011383515923493314
124,0.0003395255935208944
125,0.0008581047030623985
126,0.0012990865712236715
127,0.0029339831713101477
128,0.007139742729520165
129,0.010739828948083174
130,0.02414011314597435
131,0.05384907594644784
132,0.11989227823394004
133,0.35568665865989124
134,1.265625
135,5.625
136,25.0
